Country,Gender,Year,OECD,Life_exp
Israel,Total,2021,True,82.6
Israel,Female,2022,True,84.8
Israel,Male,2022,True,80.7
Israel,Total,2022,True,82.8
Italy,Female,2015,True,84.9
Italy,Male,2015,True,80.3
Italy,Total,2015,True,82.7
Italy,Female,2016,True,85.6
Italy,Male,2016,True,81.0
Italy,Total,2016,True,83.4
Italy,Female,2017,True,85.2
Italy,Male,2017,True,80.8
Italy,Total,2017,True,83.1
Italy,Female,2018,True,85.6
Italy,Male,2018,True,81.2
Italy,Total,2018,True,83.4
Italy,Female,2019,True,85.7
Italy,Male,2019,True,81.4
Italy,Total,2019,True,83.6
Italy,Female,2020,True,84.5
Italy,Male,2020,True,80.0
Italy,Total,2020,True,82.3
Italy,Female,2021,True,84.9
Italy,Male,2021,True,80.5
Italy,Total,2021,True,82.7
Italy,Female,2022,True,84.8
Italy,Male,2022,True,80.7
Italy,Total,2022,True,82.8
Italy,Female,2023,True,85.8
Italy,Male,2023,True,81.7
Italy,Total,2023,True,83.8
Japan,Female,2015,True,87.0
Japan,Male,2015,True,80.8
Japan,Total,2015,True,83.9
Japan,Female,2016,True,87.1
Japan,Male,2016,True,81.0
Japan,Total,2016,True,84.1
Japan,Female,2017,True,87.3
Japan,Male,2017,True,81.1
Japan,Total,2017,True,84.2
Japan,Female,2018,True,87.3
Japan,Male,2018,True,81.3
Japan,Total,2018,True,84.3
Japan,Female,2019,True,87.4
Japan,Male,2019,True,81.4
Japan,Total,2019,True,84.4
Japan,Female,2020,True,87.7
Japan,Male,2020,True,81.6
Japan,Total,2020,True,84.6
Japan,Female,2021,True,87.6
Japan,Male,2021,True,81.5
Japan,Total,2021,True,84.5
Japan,Female,2022,True,87.1
Japan,Male,2022,True,81.1
Japan,Total,2022,True,84.1
Korea,Female,2015,True,85.2
Korea,Male,2015,True,79.0
Korea,Total,2015,True,82.1
Korea,Female,2016,True,85.4
Korea,Male,2016,True,79.3
Korea,Total,2016,True,82.4
Korea,Female,2017,True,85.7
Korea,Male,2017,True,79.7
Korea,Total,2017,True,82.7
Korea,Female,2018,True,85.7
Korea,Male,2018,True,79.7
Korea,Total,2018,True,82.7
Korea,Female,2019,True,86.3
Korea,Male,2019,True,80.3
Korea,Total,2019,True,83.3
Korea,Female,2020,True,86.5
Korea,Male,2020,True,80.5
Korea,Total,2020,True,83.5
Korea,Female,2021,True,86.6
Korea,Male,2021,True,80.6
Korea,Total,2021,True,83.6
Korea,Female,2022,True,85.6
Korea,Male,2022,True,79.9
Korea,Total,2022,True,82.7
Latvia,Female,2015,True,79.5
Latvia,Male,2015,True,69.7
Latvia,Total,2015,True,74.8
Latvia,Female,2016,True,79.6
